region,model,data_mode,order,mae,rmse,mse,wis,int_cov90,int_cov80,int_cov70,int_wid90,int_wid80,int_wid70
nc,TimesFM,versioned,,0.22120602428913116,0.22120601481805413,0.1414094716310501,0.11488573253154755,0.8898305084745762,0.8686440677966102,0.8177966101694916,0.8676959276199341,0.8132317662239075,0.6902296543121338
nc,ARIMA,versioned,"(1, 1, 0)",0.2638864686896742,0.2638864686896742,0.3597495756221434,0.29169289143835714,0.9915254237288136,0.9788135593220338,0.9576271186440678,3.625116038360493,2.824429516474412,2.2842101214256623
nc,TimesFM,finalized,,0.2769180238246918,0.2769179918755919,0.24139001965522766,0.14091041684150696,0.8347457627118644,0.8050847457627118,0.7033898305084746,0.8805198669433594,0.8257148265838623,0.7011070251464844
nc,ARIMA,finalized,"(1, 1, 0)",0.44752551794214446,0.44752551794214446,0.746143395650679,0.36480530172710646,0.940677966101695,0.923728813559322,0.885593220338983,3.6310406869963785,2.8290455762928732,2.287943282581547
oh,TimesFM,versioned,,0.3407396972179413,0.34073969646025515,0.30850720405578613,0.17566001415252686,0.7711864406779662,0.75,0.6822033898305084,1.0735499858856201,1.007743239402771,0.8601428270339966
oh,ARIMA,versioned,"(1, 1, 0)",0.4113771598904709,0.4113771598904709,0.5035726279186601,0.2782762235523626,0.902542372881356,0.8728813559322034,0.8389830508474576,2.1038194771589804,1.6391447241255703,1.3256308743022667
oh,TimesFM,finalized,,0.3458496034145355,0.3458495875031261,0.3271869421005249,0.17824050784111023,0.826271186440678,0.7796610169491526,0.7330508474576272,1.090484619140625,1.023621678352356,0.8735083937644958
oh,ARIMA,finalized,"(1, 1, 0)",0.5006308821291731,0.5006308821291731,0.8247378530311147,0.33902099673495634,0.902542372881356,0.8305084745762712,0.7966101694915254,2.103533407934003,1.63892183957395,1.3254506201497902
ok,TimesFM,versioned,,0.5265158414840698,0.5265158693921768,0.7634461522102356,0.2909003794193268,0.885593220338983,0.864406779661017,0.7966101694915254,2.1074023246765137,1.9805201292037964,1.6903504133224487
ok,ARIMA,versioned,"(1, 1, 0)",0.8008676307582835,0.8008676307582835,2.87210094784846,0.6269747539051272,0.9279661016949152,0.9067796610169492,0.885593220338983,5.252989621033657,4.092751453575895,3.309944270235199
ok,TimesFM,finalized,,0.5785932540893555,0.5785932514374539,0.7537288069725037,0.3062892258167267,0.8135593220338984,0.7966101694915254,0.6949152542372882,2.041614294052124,1.9172838926315308,1.6350252628326416
ok,ARIMA,finalized,"(1, 1, 0)",0.7971770912724991,0.7971770912724991,1.7195741510196445,0.5512542853492407,0.9449152542372882,0.9110169491525424,0.864406779661017,5.246148397430315,4.087421264508949,3.3056335689963063
pa,TimesFM,versioned,,0.1950623095035553,0.1950623113977707,0.1677623689174652,0.11844050139188766,0.8516949152542372,0.847457627118644,0.7669491525423728,0.7316489219665527,0.688400149345398,0.5856783390045166
pa,ARIMA,versioned,"(1, 1, 0)",0.24856732841644105,0.24856732841644105,0.231682545993808,0.21169192028685957,0.9661016949152542,0.923728813559322,0.9110169491525424,2.38803166189824,1.860582403643904,1.5047148931706742
pa,TimesFM,finalized,,0.21390734612941742,0.2139073146854417,0.1800544559955597,0.1172756776213646,0.826271186440678,0.8220338983050848,0.7330508474576272,0.7449182271957397,0.7015693783760071,0.5971748232841492
pa,ARIMA,finalized,"(1, 1, 0)",0.3415422092823067,0.3415422092823067,0.41758411098714915,0.26491590532367176,0.923728813559322,0.8898305084745762,0.8728813559322034,2.389615934358536,1.8618167547244342,1.5057131539575317
sc,TimesFM,versioned,,0.4577080011367798,0.45770803472753296,0.6250636577606201,0.2429647594690323,0.8516949152542372,0.8220338983050848,0.7372881355932204,1.6768403053283691,1.5753816366195679,1.3422473669052124
sc,ARIMA,versioned,"(2, 1, 0)",0.590960728415967,0.590960728415967,1.4011096883116558,0.5003242057042414,0.9745762711864406,0.9491525423728814,0.9322033898305084,5.369037268149104,4.183167428226604,3.383066677160584
sc,TimesFM,finalized,,0.54664146900177,0.5466414212675418,1.1005885601043701,0.3118564784526825,0.7966101694915254,0.7966101694915254,0.7330508474576272,1.6551823616027832,1.555513620376587,1.324839472770691
sc,ARIMA,finalized,"(2, 1, 0)",0.7906458734905355,0.7906458734905355,2.091179107709198,0.5821665721636397,0.923728813559322,0.8898305084745762,0.864406779661017,5.372372477176165,4.185765983064561,3.3851682149144287
tn,TimesFM,versioned,,0.3926648795604706,0.3926648946510533,0.6251256465911865,0.22922509908676147,0.885593220338983,0.8771186440677966,0.8389830508474576,1.5564860105514526,1.4586877822875977,1.23992919921875
tn,ARIMA,versioned,"(1, 1, 0)",0.5233717517226315,0.5233717517226315,1.2958904532069082,0.45272113725451585,0.9491525423728814,0.9279661016949152,0.902542372881356,4.502193528677885,3.5077851734172194,2.8368625770871043
tn,TimesFM,finalized,,0.4814271330833435,0.4814271404707836,0.8680660724639893,0.2575693726539612,0.809322033898305,0.8050847457627118,0.75,1.536325216293335,1.439528465270996,1.2241296768188477
tn,ARIMA,finalized,"(2, 1, 0)",0.8212223258252492,0.8212223258252492,2.4876818334760387,0.6146178705783709,0.8686440677966102,0.8601694915254238,0.826271186440678,4.461978170770785,3.4764522608465747,2.8115226082154616
tx,TimesFM,versioned,,0.44264519214630127,0.44264519593473206,0.48308265209198,0.2437131106853485,0.8559322033898306,0.8220338983050848,0.7457627118644068,1.7806204557418823,1.674565315246582,1.4248425960540771
